"Back","رجوع"
"If this option is set to ""Yes"", A sms will be sent to customer when he places a new order.","إذا تم ضبط هذا الخيار إلى ""نعم""، سيتم إرسال رسالة نصية قصيرة إلى العميل عندما يضيف طلب"
"Message By Payment Method","رسالة بطريقة الدفع"
"Order status is changed","تغيرت حالة الطلب"
"If this option is set to ""Yes"", A sms will be sent to customer when status of an order is changed.","إذا تم ضبط هذا الخيار إلى ""نعم""، سيتم إرسال رسالة نصية قصيرة إلى العميل عندما تتغير حالة الطلب"
"Messages","الرسائل"
"New invoice is created","تم إصدار فاتورة جديدة"
"If this option is set to ""Yes"", A sms will be sent to admin when invoice is created.","إذا تم ضبط هذا الخيار إلى ""نعم""، سيتم إرسال رسالة نصية قصيرة إلى المشرف عند إصدار فاتورة جديدة"
"New shipment is created","تم إنشاء شحنة جديدة"
"New credit memo is created","تم إنشاء فاتورة مرتجع"
"General Information","معلومات عامة"
"Rule","Rule"
"Note","مذكرة"
"Add New Rule","Add New Rule"
"Delete rule","Delete rule"
"Delete selected rules?","Delete selected rules?"
"Delete","حذف"
"ID#","رقم مرجعي"
"Message Id","رقم الرسالة"
"Reference Id","الرقم المرجعي"
"Gateway","منفذ"
"Status","الحالة"
"Created At","أنشئت"
"Password forgotten","نسيت كلمة السر"
"2-Step Verification","التحقق بخطوتين"
" 2-Step Verification ","التحقق بخطوتين"
"This extra step shows it’s really you trying to sign in. Click to the button below to send an OTP to your phone number","هذه الخطوة الإضافية تُظهر أنك حقًا أنت الشخص الذي يحاول تسجيل الدخول. انقر على الزر أدناه لإرسال رمز التحقق إلى رقم هاتفك."
"Items in the cart","منتجات في عربة التسوق"
"Item will be shipped and delivered in 3-7 days.","الشحن والتسليم خلال 3-7 أيام"
"Discover all of our inspirations","اكتشف كل ما لدينا من الإلهام"
"Discover the latest trends, testimonials from industry leaders or relive the highlights of our events. In several formats, podcasts, replays of shows and conferences from our various events.","اكتشف أحدث الاتجاهات وشهادات قادة الصناعة أو استرجع أبرز  أحداثنا. في عدة أشكال، والبودكاست، وإعادة مشاهدة العروض والمؤتمرات من فعاليتنا المختلفة."
